Date,Resort,Snow (24hr),Base Depth,Trails Open,Total Trails,Lifts Open,Base Depth Notes,% Trails Open
2025-02-13,Vail,"1""","56""",274,278,30/33,Machine Groomed,98.56
2025-02-13,Winter Park,"3""","62""",163,171,19/25,Powder,95.32
2025-02-13,Wolf Creek Ski Area,"0""","46""",144,144,10/11,Machine Groomed,100.0
2025-02-13,Arapahoe Basin Ski Area,"0""","48""",136,145,9/9,Variable Conditions,93.79
2025-02-13,Aspen Snowmass,"1""","53""",352,366,34/41,Powder,96.17
2025-02-13,Beaver Creek,"1""","46""",168,173,18/24,Machine Groomed,97.11
2025-02-13,Breckenridge,"1""","49""",188,188,33/35,Packed Powder,100.0
2025-02-13,Cooper,"0""","40""",64,64,5/5,Machine Groomed,100.0
2025-02-13,Copper Mountain,"1""","58""",149,150,24/24,Powder,99.33
2025-02-13,Crested Butte Mountain Resort,"0""","50""",120,165,15/15,Machine Groomed,72.73
2025-02-13,Echo Mountain,"0""","30""",5,7,3/3,Variable Conditions,71.43
2025-02-13,Eldora Mountain Resort,"1""","30""",59,61,10/10,Powder,96.72
2025-02-13,Howelsen Hill,"0""","34""",17,17,3/4,Machine Groomed,100.0
2025-02-13,Keystone,"0""","42""",140,140,21/21,Powder,100.0
2025-02-13,Loveland Ski Area,"0""","44""",93,94,10/10,Powder,98.94
2025-02-13,Monarch Mountain,"0""","46""",67,67,5/7,Powder,100.0
2025-02-13,Powderhorn,"7""","40""",48,54,5/5,Packed Powder,88.89
2025-02-13,Purgatory,"0""","35""",94,107,10/11,Packed Powder,87.85
2025-02-13,Silverton Mountain,"5""","57""",69,69,1/1,Powder,100.0
2025-02-13,Ski Granby Ranch,"0""","25""",42,42,5/5,Machine Groomed,100.0
2025-02-13,Steamboat,"2""","84""",184,184,23/23,Powder,100.0
2025-02-13,Sunlight Mountain Resort,"0""","28""",45,75,3/3,Variable Conditions,60.0
2025-02-13,Telluride,"0""","39""",129,147,17/17,Packed Powder,87.76
2025-02-13,Vail,"1""","56""",274,278,30/33,Machine Groomed,98.56
2025-02-13,Winter Park,"3""","62""",163,171,19/25,Powder,95.32
2025-02-13,Wolf Creek Ski Area,"0""","46""",144,144,10/11,Machine Groomed,100.0
